! ------------ AirfoilInfo v1.00.x Input File ----------------------------------
! SH3052 _15te (15th element) data from T Hanley XFOIL predictions
! Reinterpolated and foilchecked by CH Feb04
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
1.0         NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
     4      0.9308    0.0198
     5      1.0127    0.0208
     6      1.085     0.0218
     7      1.1474    0.0246
     8      1.2096    0.0276
     9      1.2474    0.0297
     10     1.2826    0.0317
     11     1.2854    0.0371
     12     1.2609    0.0462
     13     1.2111    0.0606
     14     1.1438    0.0814
     15     1.084     0.1043
     16     1.0433    0.1245
     17     0.9999    0.1464
     18     0.9509    0.1708
     19     0.9035    0.1949
     20     0.9296    0.2147
     21     0.9602    0.2314
     22     0.9975    0.244
     23     1.0424    0.252
     24     1.092     0.257
     25     1.1498    0.2555
     26     1.2127    0.2487
     27     1.2572    0.2539
     30     1.2925    0.2812
     40     1.0819    0.4965
     50     0.8991    0.7264
     60     0.6998    0.9437
     70     0.4755    1.1228
     80     0.2356    1.2428
     90     0         1.29
     100   -0.1649    1.2428
     110   -0.3329    1.1228
     120   -0.4899    0.9437
     130   -0.6294    0.7264
     140   -0.7573    0.4965
     150   -0.9047    0.2812
     160   -0.7142    0.1061
     170   -0.3571   -0.008
     180    0        -0.0476
! ------------------------------------------------------------------------------
! data for table 3
! ------------------------------------------------------------------------------
1.2         Re                ! Reynolds numbers in millions
0.0         Ctrl              ! Control setting (must be 0 for current AirfoilInfo)
False       InclUAdata        ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefs below this line
!........................................
  70       NumAlf            ! Number of data lines in the following table
!    Alpha  Cl       Cd
!    (deg)  (-)      (-)
     -180   0       -0.0224
     -170   0.351    0.0168
     -160   0.7019   0.1298
     -150   0.8905   0.3031
     -140   0.7486   0.5158
     -130   0.6242   0.7426
     -120   0.4871   0.9563
     -110   0.3317   1.1314
     -100   0.1646   1.2472
     -90    0        1.29
     -80   -0.1646   1.2472
     -70   -0.3317   1.1314
     -60   -0.4871   0.9563
     -50   -0.6242   0.7426
     -40   -0.7486   0.5158
     -30   -0.8905   0.3031
     -20   -0.6464   0.1609
     -10   -0.2018   0.0657
     -8    -0.1798   0.0274
     -7    -0.0861   0.0246
     -6     0.0061   0.0205
     -5     0.0991   0.0188
     -4     0.1941   0.0174
     -3     0.2901   0.016
     -2     0.3824   0.0134
     -1     0.4793   0.0136
     0      0.5754   0.014
     1      0.671    0.0144
     2      0.7647   0.015
     3      0.8561   0.0158
     4      0.9447   0.0168
     5      1.0315   0.0176
     6      1.1113   0.0188
     7      1.186    0.0202
     8      1.2494   0.0228
     9      1.2876   0.0248
     10     1.3031   0.0286
     11     1.2815   0.0365
     12     1.2358   0.0485
     13     1.1852   0.064
     14     1.1618   0.0769
     15     1.1275   0.0933
     16     1.093    0.1109
     17     1.0522   0.1311
     18     1.0073   0.1527
     19     0.9621   0.1749
     20     0.983    0.1967
     21     1.0025   0.2183
     22     1.0216   0.2386
     23     1.0527   0.253
     24     1.0944   0.2631
     25     1.1398   0.2704
     26     1.1873   0.2755
     27     1.2356   0.2794
     30     1.2722   0.3031
     40     1.0695   0.5158
     50     0.8918   0.7426
     60     0.6959   0.9563
     70     0.4738   1.1314
     80     0.2352   1.2472
     90     0        1.29
     100   -0.1646   1.2472
     110   -0.3317   1.1314
     120   -0.4871   0.9563
     130   -0.6242   0.7426
     140   -0.7486   0.5158
     150   -0.8905   0.3031
     160   -0.7019   0.1298
     170   -0.351    0.0168
     180    0       -0.0224
